2019-07-30T21:19:50.454Z ,3132000 ,humus,white bread,onion 1kg,eggs XL,banana 1kg,onion 1kg,white bread,tuna,eggs L
2019-06-12T22:10:26.956Z ,33348000 ,tuna,Water 6pc,tester choise,potato,kotej,sweet corn,pasta,white cheese,milk 3%
2019-07-30T07:50:12.994Z ,17520000 ,eggs L,milki,eggs M,milk 3%,tuna,potato,eggs M,kotej,milki
2019-06-08T02:51:12.841Z ,26392000 ,eggs M,Water 6pc,pasta,kotej,eggs L,milk 1%,onion 1kg,Water 6pc,Coca Cola Zero
2019-07-28T06:49:17.339Z ,4132000 ,sugar,tuna,butter,brown bread,milk 3%,salmon 1kg,eggs M,Coca Cola Zero,milki
2019-06-16T14:51:01.593Z ,33888000 ,eggs M,sugar,eggs XL,chiken 1kg,pasta,salmon 1kg,potato,white bread,eggs XL
2019-06-08T13:37:50.216Z ,28980000 ,salmon 1kg,sweet corn,eggs XL,humus,brown bread,tuna,salmon 1kg,salmon 1kg,kotej
2019-07-28T23:21:56.287Z ,22876000 ,chiken 1kg,brown bread,brown bread,eggs XL,humus,onion 1kg,eggs L,white bread,tester choise
2019-08-11T22:12:56.925Z ,22760000 ,onion 1kg,white cheese,chiken 1kg,milk 3%,milk 1%,tester choise,milk 3%,chiken 1kg,white bread
2019-06-05T21:57:59.574Z ,34204000 ,brown bread,onion 1kg,eggs L,salmon 1kg,eggs M,sweet corn,onion 1kg,potato,white bread
2019-06-09T11:24:27.045Z ,3192000 ,milki,white cheese,potato,ketchup,tester choise,banana 1kg,kotej,butter,tester choise
2019-07-07T03:40:14.207Z ,24036000 ,potato,white bread,butter,butter,Coca Cola Zero,white bread,kotej,tester choise,onion 1kg
2019-07-26T22:20:03.563Z ,17060000 ,Coca Cola Zero,milki,kotej,tester choise,eggs XL,butter,pasta,sugar,sweet corn
2019-06-01T12:21:44.271Z ,22852000 ,white bread,sugar,white bread,pasta,butter,pasta,kotej,ketchup,banana 1kg
2019-06-15T05:27:56.751Z ,6264000 ,ketchup,Water 6pc,potato,kotej,butter,tester choise,tester choise,tester choise,pasta
2019-07-15T09:06:05.359Z ,32588000 ,kotej,ketchup,butter,chiken 1kg,milki,onion 1kg,potato,Water 6pc,milk 1%
2019-07-13T05:45:43.158Z ,22632000 ,chiken 1kg,onion 1kg,Coca Cola Zero,ketchup,milk 3%,chiken 1kg,chiken 1kg,banana 1kg,eggs XL
2019-06-01T09:49:06.843Z ,14840000 ,brown bread,eggs M,ketchup,onion 1kg,pasta,pasta,ketchup,white bread,sweet corn
